filename,Garment_Type,Silhouette,Primary_Color,Pattern_Texture,Accessories,Footwear_Type,Style_Aesthetic,Formality_Level,Short_Description
charlotte_black_business.png,Dress,Bodycon,Black,Solid,"Pearl Necklace, Handbag",Not visible,"Classic, Elegant",Semi-formal,"A black bodycon dress with three-quarter sleeves, worn with a pearl necklace and carrying a handbag, suitable for semi-formal occasions."
charlotte_black_dress.png,Dress,A-line,Black,Solid,"Bracelet, Earrings",,Elegant,Formal,Black halter neck A-line formal dress with minimal accessories.
charlotte_blue_dress.png,Coat,Straight,Blue,Solid,"Pink handbag, Beige and pink floral hat, Ring",,"Chic, Classic",Smart Casual,A blue double-breasted straight coat with gold buttons paired with a beige and pink floral hat and a bright pink handbag.
charlotte_blue_white_dress.png,Strapless Dress,Fit and Flare,Blue and White,Checkered,"Pink Belt, Sunglasses",White Heels,Casual Chic,Semi-Formal,"A strapless fit and flare dress with a blue and white checkered pattern, accessorized with a pink belt and white heels, paired with sunglasses for a casual chic, semi-formal look."
charlotte_business_chic.png,Two-piece outfit (Top and Knee-length Skirt),Fitted,Black,Solid,"Necklace, Earrings, Bracelet, Rings",Pointed Toe Pumps,"Classic, Elegant",Semi-formal,"A woman wearing a fitted black V-neck short sleeve top paired with a knee-length black skirt and glittery pointed toe pumps, accessorized with simple jewelry."
charlotte_cream_skirt.png,Top and Skirt,Fitted top with an A-line skirt,Light pink (top) and multi-color tweed (skirt),"Ribbed texture on top, tweed texture on skirt","White wide double buckle belt, glasses, bracelet",Not visible,"Chic, sophisticated office wear",Business casual,"Woman wearing a light pink ribbed short-sleeve top tucked into a multi-colored tweed A-line skirt, accessorized with a white wide double buckle belt and glasses."
charlotte_dotted_dress.png,Dress,A-line,White,Floral pattern,Pink belt,Strappy sandals,"Vintage, feminine",Casual to semi-formal,"White sleeveless A-line dress with a floral pattern and a pink belt, paired with strappy sandals."
charlotte_floral_white_dress.png,Dress,A-line,White,Floral and bird print,"Belt, handbag, watch",Heels,"Classic, feminine",Semi-formal,"A white A-line dress with green floral and bird prints, accessorized with a belt, green handbag, and white heels."
charlotte_flower_dress.png,Dress,Fit and flare,Black and white,Floral with abstract black web-like pattern,"Quilted cream handbag with chain strap, black belt, wristwatch",Not visible,"Chic, feminine",Semi-formal,Strapless black and white floral fit and flare dress paired with a black belt and cream quilted handbag.
charlotte_formal_suit.png,"Long Coat, Turtleneck Sweater",Straight,Black,Solid,None visible,Not visible,"Classic, Minimalist",Casual to Semi-Formal,"Woman wearing a long black coat over a grey turtleneck sweater, styled in a classic and minimalist manner."
charlotte_lime_skirt.png,Sleeveless Blouse and Printed Skirt,Fitted Blouse with A-line Skirt,Green,Polka Dot and Abstract Print on Skirt,"Pearl Necklace, Headband, Watch, Handbag, Hairbrush",Not Visible,Preppy and Classic,Casual to Smart Casual,"A fitted white sleeveless blouse paired with a bright green A-line skirt featuring polka dot and abstract prints. Accessories include a pearl necklace, pink headband, wristwatch, and a round pink handbag. A green sweater is draped over the shoulders."
charlotte_lipstick_skirt.png,Blouse and skirt,Fitted blouse with an A-line skirt,White,Solid blouse with a printed skirt featuring a lipstick pattern,"Earrings, wristwatch, shoulder bag",Not visible,"Chic, stylish",Smart casual,"A woman wearing a fitted white button-up blouse paired with a high-waisted A-line skirt printed with a lipstick pattern, accessorized with earrings, a wristwatch, and carrying a shoulder bag."
charlotte_navy_pants.png,"Sleeveless top, High-waisted pants","Fitted top, Slim pants","White (top), Black (pants)","Solid, smooth texture","White handbag, Hoop earrings",Black open-toe heels,Casual chic,Smart casual,"Woman wearing a fitted white sleeveless high-neck top paired with slim black high-waisted pants, accessorized with a white handbag and black open-toe heels."
charlotte_navy_skirt.png,Turtleneck Top,Fitted,White,Solid,"Sunglasses, Wristwatch, Ear studs, Chain strap bag",Not visible,Casual Chic,Casual,"Woman wearing a fitted white short-sleeve turtleneck top with sunglasses, a wristwatch, and a dark skirt, exuding a casual chic look."
charlotte_orange_dress.png,Dress with Shawl,Fitted,Orange,Floral,Shawl,Not visible,"Casual, Bohemian",Casual,"Fitted orange floral dress paired with a light purple shawl draped over shoulders, casual bohemian look."
charlotte_orange_floral_dress.png,Dress,Fitted with exaggerated puff sleeves,Orange,Floral print,Small handbag,Not visible,"Bold, elegant, statement",Formal,"A fitted orange floral dress with large puff sleeves and a square neckline, styled with a small box-shaped handbag."
charlotte_pattern_skirt.png,"Blazer, Skirt",Fitted blazer with A-line skirt,"Black, White, Brown",Plaid Skirt with Tweed Texture,"Handbag, Necklace",High Heels,"Classic, Professional",Business Formal,"A classic black and white fitted blazer paired with a brown plaid tweed knee-length skirt, accessorized with a structured handbag and high heels, suitable for a professional business setting."
charlotte_pink_birthday_dress.png,Dress,"Fitted, Strapless",Pink,"Solid color, slightly textured fabric","Black belt, white handbag, earrings",Not visible,"Elegant, Classic",Semi-formal,"A fitted strapless pink dress with a black belt, accessorized with a white handbag and earrings, presenting a classic and elegant semi-formal look."
charlotte_pink_dress.png,Strapless dress,Fitted pencil,Pink,Solid,"White handbag, bracelet, earrings, rings",Flat sandals,Elegant casual,Semi-formal,"A fitted strapless pink pencil dress with a black belt, accessorized with white handbag, jewelry, and pink flat sandals."
charlotte_pink_formal_top.png,Button-up Shirt and High-Waisted Pants,Fitted Top with Straight-Leg Pants,Pink (Shirt) and Dark Gray (Pants),Solid Color,None Visible,Not Visible,Business Casual,Semi-Formal,"Woman wearing a fitted pink button-up shirt tucked into high-waisted dark gray pants, presenting a business casual look."
charlotte_pink_knitted_dress.png,Sleeveless Dress,A-line,Pink,Tweed,"Wide belt, Handbag, Ring, Watch",High heels,"Chic, Classic",Semi-formal,"Pink sleeveless tweed A-line dress paired with a wide belt, a beige handbag, and nude high heels for a chic semi-formal look."
charlotte_pink_ombre_dress.png,Slip dress,"Fitted, straight",Pink with red gradient,Solid ombre,"Red tote bag, plaid handbag, silver hoop earrings, watch",Open-toe heels,"Elegant, feminine",Semi-formal,"Woman wearing a fitted pink-to-red ombre slip dress with ruffle cap sleeves, accessorized with a red tote bag, plaid handbag, silver hoop earrings, watch, and open-toe heels."
charlotte_pink_purse.png,"Belted jacket, Jeans",Structured jacket with straight-leg jeans,"Gray (jacket), Blue (jeans)","Solid color, subtle texture on jacket",Pink handbag,Pointed heels,Casual chic,Smart casual,"Woman wearing a structured gray belted jacket over a black top, paired with cuffed blue jeans, silver pointed heels, and carrying a bright pink handbag."
charlotte_pink_top.png,Spaghetti Strap Tank Top and Printed Skirt,Fitted top with A-line skirt,Magenta top and white skirt with magenta floral print,Solid top with floral print on skirt,Small magenta shoulder bag and white beaded bracelet,Not visible,Casual chic,Casual,"Person wearing a fitted magenta spaghetti strap tank top paired with a white skirt featuring a magenta floral pattern, accessorized with a small magenta shoulder bag and a white beaded bracelet."
charlotte_pink_top_jeans.png,"V-neck top, high-waisted jeans","Fitted top, relaxed straight-leg jeans","Light pink (top), dark blue (jeans)",Solid colors,Bracelet,,Casual,Casual,"Light pink fitted V-neck top paired with dark blue high-waisted relaxed straight-leg jeans, accessorized with a bracelet."
charlotte_polka_dot_dress.png,Dress and Trench Coat,Shift Dress with Loose Trench Coat,White and Pink,Polka Dot,Bracelets,Not Visible,"Chic, Casual",Semi-formal,"A white shift dress with black polka dots paired with a loose pink trench coat, accessorized with bracelets."
charlotte_polka_dot_pants.png,Top and Pants,"Fitted top, high-waisted pants",Black (top) and White with black dots (pants),Solid (top) and Polka dot (pants),Bracelet,Not visible,"Casual, Classic",Casual,"A black fitted short-sleeve top paired with high-waisted white pants featuring a black polka dot pattern, accessorized with a bracelet."
charlotte_polka_dot_skirt.png,Blouse and Midi Skirt,Puffy Sleeves and A-line,White and Blue,Solid (blouse) and Polka Dots (skirt),"Small handbag, necklace, and belt",Heels,"Chic, Feminine",Semi-formal,"A woman wearing a white blouse with puffy sleeves paired with a blue midi pleated skirt with white polka dots, accessorized with a small handbag, yellow belt, butterfly necklace, and yellow heels."
